policy,policy_details,last_updated
Service Cancellation Policy,"Customers may cancel their wireless or home internet service at any time. Individual and Family plan customers must provide 30 days notice to avoid early termination fees. Business and Premium segment customers on contract receive prorated refunds. Upon cancellation, a confirmation email is sent to the registered address and final bill issued within 14 days. Device payment agreements remain active and balance becomes due immediately unless transferred to a new line.",2025-01-15
Plan Change Policy,"Customers can upgrade or downgrade their wireless plan at any time through the mobile app, website, or by contacting customer service. Upgrades take effect immediately; downgrades take effect at the start of the next billing cycle. Bronze and Silver loyalty tier members may change plans once per billing cycle; Gold and Platinum members have unlimited plan changes. Family plan managers can modify individual line plans without affecting other lines.",2025-02-01
Device Return and Exchange Policy,"New devices may be returned within 14 days of purchase for a full refund, provided they are in original condition with all accessories. Customer should only have returned 10 or less items in the past year. A $50 restocking fee applies to opened devices unless the customer is a Gold or Platinum loyalty tier member. Exchanges for different models are permitted within the return window. Devices purchased with promotional pricing require return of any promotional credits received.",2025-01-20
Data Overage Policy,"Customers on limited data plans who exceed their monthly data allowance will experience reduced speeds (up to 128 Kbps) for the remainder of the billing cycle rather than incurring overage charges. Customers may purchase additional high-speed data in 5GB increments at $15 per block. Premium and Business segment customers receive one complimentary 5GB data boost per billing cycle. Usage alerts are sent at 75%, 90%, and 100% of data allowance.",2025-03-01
International Roaming Policy,"International roaming is available in 200+ countries. Pay-per-use rates apply unless an international add-on is purchased. Daily international passes ($10/day) provide unlimited talk, text, and 500MB high-speed data. Weekly passes ($40) and monthly passes ($100) are available for frequent travelers. Gold and Platinum loyalty members receive 25% discount on all international passes. Business segment customers can enable roaming for entire accounts with consolidated billing.",2025-02-15
Privacy and Data Protection Policy,"Customer personal information, usage data, and communication records are protected in accordance with federal regulations. Data is encrypted in transit and at rest. Customers may request a copy of their data or deletion of non-essential records within 30 days. Location data is only collected when services require it and customers opt-in. Third-party sharing requires explicit consent except where required by law. Customers can manage privacy preferences in account settings.",2025-01-10
Equipment Upgrade Policy,"Customers become eligible for equipment upgrades based on loyalty tier: Platinum members after 12 months, Gold after 18 months, Silver after 21 months, and Bronze after 24 months. Early upgrades are available with remaining device balance payoff. Trade-in credits apply toward new device purchases. Family plan accounts can pool upgrade eligibility across lines. Business accounts may negotiate custom upgrade schedules based on fleet size.",2025-02-28
Billing Dispute Resolution Policy,"Customers may dispute any charge within 60 days of the bill date. Disputes can be filed through the mobile app, website, or customer service. During investigation (typically 10 business days), disputed amounts are not due and service continues uninterrupted. If resolved in customer's favor, credits appear on the next billing cycle. Platinum and Gold tier members receive dedicated dispute resolution representatives with 48-hour resolution targets.",2025-03-10
Family Plan Management Policy,"Family plans support 2-10 lines under a single account with one designated account manager. The account manager can add or remove lines, adjust individual line plans, set usage controls, and manage parental controls. Each line can have independent data limits and content filters. Student segment members can be added to family plans with verified .edu email and receive a $10/month discount per line.",2025-01-25
Service Suspension Policy,Accounts with balances 30+ days past due may be suspended. Suspended accounts retain their phone number for 60 days. Service restoration requires full balance payment or approved payment arrangement. Customers experiencing financial hardship may request a temporary suspension (up to 90 days) with reduced monthly fee of $10 to maintain number and account. Military deployment suspension is available with documentation at no charge for up to 12 months.,2025-02-10
Loyalty Rewards Program Policy,"Customers earn loyalty points on every dollar spent: Bronze tier (1 point/$1), Silver tier (1.25 points/$1), Gold tier (1.5 points/$1), Platinum tier (2 points/$1). Points can be redeemed for device accessories, bill credits, or device upgrades. Tier advancement: Silver requires 12 months tenure and $1,000 annual spend; Gold requires 24 months and $2,000 annual spend; Platinum requires 36 months and $3,500 annual spend. Points expire after 24 months of account inactivity.",2025-03-05
Network Priority Policy,"During periods of network congestion, data traffic is prioritized based on plan type and loyalty tier. Unlimited Premium plans receive highest priority. Standard unlimited plans may experience temporary speed reduction after 50GB monthly usage. Platinum and Gold loyalty members on any plan receive priority restoration within 15 minutes of congestion events. Business segment customers with Premium Business plans receive guaranteed minimum speeds per SLA.",2025-02-20
eSIM Activation Policy,"eSIM activation is available for compatible devices (iPhone XS and later, Samsung Galaxy S20 and later, Google Pixel 3 and later). Customers can activate eSIM through the mobile app by scanning a QR code or entering activation details manually. Up to 8 eSIM profiles can be stored on supported devices with 2 active simultaneously. eSIM transfers between devices require customer service assistance. Business accounts can bulk-provision eSIM profiles for fleet devices.",2025-03-15
Home Internet Service Policy,"Home internet service availability varies by location. Installation appointments are scheduled within 5 business days of order; Premium and Business segment customers receive priority scheduling within 48 hours. Equipment (gateway router) is provided at no charge with $150 fee if not returned within 14 days of service cancellation. Speed guarantees: If speeds consistently fall below 70% of plan speed, customers may cancel without early termination fee or receive a service credit.",2025-01-30
Account Security Policy,"All account changes require identity verification via PIN, security questions, or biometric authentication through the mobile app. SIM swap requests require in-store verification with government ID or video verification for online requests. Customers are notified via email and SMS of any account changes. Two-factor authentication is available and required for Business and Premium segment accounts. Fraudulent activity is monitored 24/7 with automatic account protection measures.",2025-03-01
